Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
05.02.2019,36.18,36.72,36.94,35.82,71.19M,-4.26%
04.02.2019,37.79,36.82,37.89,36.56,17.69M,2.27%
01.02.2019,36.95,36.75,37.23,36.51,13.54M,0.11%
31.01.2019,36.91,36.61,37.49,36.52,26.94M,1.74%
30.01.2019,36.28,36.38,36.56,35.6,19.39M,0.64%
29.01.2019,36.05,36.55,36.69,36.05,15.83M,-0.74%
28.01.2019,36.32,35.28,36.5,35.28,22.56M,1.79%
24.01.2019,35.68,35.55,35.91,35.44,21.28M,-0.14%
23.01.2019,35.73,35.64,35.87,35.18,27.25M,0.68%
22.01.2019,35.49,35.55,35.77,35.19,12.19M,-0.17%
21.01.2019,35.55,35.69,35.82,35.26,7.77M,-0.81%
18.01.2019,35.84,35.41,35.96,35.41,21.33M,1.27%
17.01.2019,35.39,35.25,35.55,34.97,25.77M,0.00%
16.01.2019,35.39,35.55,35.59,34.93,17.30M,-0.28%
15.01.2019,35.49,35.86,35.92,35.1,41.12M,-1.55%
14.01.2019,36.05,35.76,36.05,35.64,17.40M,0.73%
11.01.2019,35.79,35.79,36.1,35.5,13.63M,-0.61%
10.01.2019,36.01,36.09,36.54,35.83,24.74M,-0.66%
09.01.2019,36.25,36.07,36.25,35.77,20.31M,1.51%
08.01.2019,35.71,35.39,35.76,34.8,19.56M,1.28%
07.01.2019,35.26,35.03,35.69,34.98,16.90M,0.17%
04.01.2019,35.2,35.43,35.89,34.98,24.87M,-1.68%
03.01.2019,35.8,35.17,35.8,34.69,21.94M,1.65%
02.01.2019,35.22,33.73,35.35,33.65,25.58M,4.29%
